review,aspect,key_aspect,count,product
i was impressed by this very inexpensive player for the first three hours and then it died,inexpensive player,best player,16,Apex AD2600 Progressive-scan DVD player
i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category,inexpensive player,best player,16,Apex AD2600 Progressive-scan DVD player
this is the best dvd player i have purchased,best player,best player,16,Apex AD2600 Progressive-scan DVD player
i think apex is the best dvd player you can get for the price,best player,best player,16,Apex AD2600 Progressive-scan DVD player
for the first few weeks this player was everything i expected it to be an affordable multiformat dvd player with a stylish slim case as advertised,affordable player,best player,16,Apex AD2600 Progressive-scan DVD player
i have not even used my new dvd player and already i am disapointed,not new player,best player,16,Apex AD2600 Progressive-scan DVD player
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive highend player,expensive player,best player,16,Apex AD2600 Progressive-scan DVD player
for the most part this is a good dvd player,good player,best player,16,Apex AD2600 Progressive-scan DVD player
without a doubt the finest looking apex dvd player that i have seen,finest player,best player,16,Apex AD2600 Progressive-scan DVD player
without a doubt the finest looking apex dvd player that i have seen,looking player,best player,16,Apex AD2600 Progressive-scan DVD player
this was an awesome player before the video output no longer worked after about 3 weeks ,awesome player,best player,16,Apex AD2600 Progressive-scan DVD player
when i tried to install the second dvd player in my brothers house that one didn t work either,second player,best player,16,Apex AD2600 Progressive-scan DVD player
for the price its a very nice dvd player,nice player,best player,16,Apex AD2600 Progressive-scan DVD player
this is wonderful to have for your first dvd player,first player,best player,16,Apex AD2600 Progressive-scan DVD player
also it was only 3999 after rebate with free shipping and no tax so overall it is a decent player,decent player,best player,16,Apex AD2600 Progressive-scan DVD player
this player is not worth any price and i recommend that you do not purchase it,not worth player,best player,16,Apex AD2600 Progressive-scan DVD player
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,remote control,remote control,8,Apex AD2600 Progressive-scan DVD player
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,remote control,remote control,8,Apex AD2600 Progressive-scan DVD player
p s the remote control does seem to get confused at times and does not respond but it may be just operator error,remote control,remote control,8,Apex AD2600 Progressive-scan DVD player
5 this apex model 2600 will not work with my universal remote control,remote control,remote control,8,Apex AD2600 Progressive-scan DVD player
