review,aspect,key_aspect,count,product,sentiment
i was impressed by this very inexpensive player for the first three hours and then it died,inexpensive player,best player,16,Apex AD2600 Progressive-scan DVD player,1
i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category,inexpensive player,best player,16,Apex AD2600 Progressive-scan DVD player,1
this is the best dvd player i have purchased,best player,best player,16,Apex AD2600 Progressive-scan DVD player,1
i think apex is the best dvd player you can get for the price,best player,best player,16,Apex AD2600 Progressive-scan DVD player,1
for the first few weeks this player was everything i expected it to be an affordable multiformat dvd player with a stylish slim case as advertised,affordable player,best player,16,Apex AD2600 Progressive-scan DVD player,1
i have not even used my new dvd player and already i am disapointed,not new player,best player,16,Apex AD2600 Progressive-scan DVD player,0
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive highend player,expensive player,best player,16,Apex AD2600 Progressive-scan DVD player,1
for the most part this is a good dvd player,good player,best player,16,Apex AD2600 Progressive-scan DVD player,1
without a doubt the finest looking apex dvd player that i have seen,finest player,best player,16,Apex AD2600 Progressive-scan DVD player,1
without a doubt the finest looking apex dvd player that i have seen,looking player,best player,16,Apex AD2600 Progressive-scan DVD player,1
this was an awesome player before the video output no longer worked after about 3 weeks ,awesome player,best player,16,Apex AD2600 Progressive-scan DVD player,1
when i tried to install the second dvd player in my brothers house that one didn t work either,second player,best player,16,Apex AD2600 Progressive-scan DVD player,0
for the price its a very nice dvd player,nice player,best player,16,Apex AD2600 Progressive-scan DVD player,1
this is wonderful to have for your first dvd player,first player,best player,16,Apex AD2600 Progressive-scan DVD player,1
also it was only 3999 after rebate with free shipping and no tax so overall it is a decent player,decent player,best player,16,Apex AD2600 Progressive-scan DVD player,1
this player is not worth any price and i recommend that you do not purchase it,not worth player,best player,16,Apex AD2600 Progressive-scan DVD player,0
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,remote control,remote control,8,Apex AD2600 Progressive-scan DVD player,0
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,remote control,remote control,8,Apex AD2600 Progressive-scan DVD player,1
p s the remote control does seem to get confused at times and does not respond but it may be just operator error,remote control,remote control,8,Apex AD2600 Progressive-scan DVD player,0
5 this apex model 2600 will not work with my universal remote control,remote control,remote control,8,Apex AD2600 Progressive-scan DVD player,0
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,remote controls,remote control,8,Apex AD2600 Progressive-scan DVD player,1
2 the remote works but then it does not work and you are left standing there thinking you are doing something wrong,remote works,remote control,8,Apex AD2600 Progressive-scan DVD player,0
and the remote is cheap and cheasy not sure how long it will last but for 50 bucks what the heck,sure remote,remote control,8,Apex AD2600 Progressive-scan DVD player,0
the remote is a little hard to understand,hard remote,remote control,8,Apex AD2600 Progressive-scan DVD player,0
for the money apex machines have good features,good features,great feature,5,Apex AD2600 Progressive-scan DVD player,1
i only wanted something to play dvds on but this machine has all these other features that i probably will never use but its nice to know that there are there,nice features,great feature,5,Apex AD2600 Progressive-scan DVD player,1
its very sleek looking with a very good front panel button layout and it has a great feature set,great feature,great feature,5,Apex AD2600 Progressive-scan DVD player,1
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,special features,great feature,5,Apex AD2600 Progressive-scan DVD player,0
for example i tried playing my new pirates of the carribean extra features dvd but this dvd player can not read it,extra features,great feature,5,Apex AD2600 Progressive-scan DVD player,0
i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites,apex player,apex player,5,Apex AD2600 Progressive-scan DVD player,1
well this apex dvd player turned out great,apex player,apex player,5,Apex AD2600 Progressive-scan DVD player,1
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive highend player,apex player,apex player,5,Apex AD2600 Progressive-scan DVD player,1
without a doubt the finest looking apex dvd player that i have seen,apex player,apex player,5,Apex AD2600 Progressive-scan DVD player,1
 he had owned two apex dvd players and was pleased with both of them ,apex players,apex player,5,Apex AD2600 Progressive-scan DVD player,1
i tried calling the support number for a week several times a day and always got a busy signal,several times,many times,4,Apex AD2600 Progressive-scan DVD player,0
i called apexs support number numerous times but it just kept ringing,numerous times,many times,4,Apex AD2600 Progressive-scan DVD player,0
i have tried many times to get a hold of apex who does not seem to answer their emails and telephone number is constantly busy as i believe the one lonely customer service rep is probably extremely overworked,many times,many times,4,Apex AD2600 Progressive-scan DVD player,0
on several different occasions it has displayed no disc with a disc inside,several occasions,many times,4,Apex AD2600 Progressive-scan DVD player,0
my dad also has an apex tv and it was another great value for the money,great value,great price,4,Apex AD2600 Progressive-scan DVD player,1
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,low price,great price,4,Apex AD2600 Progressive-scan DVD player,1
mixed bag i guess but the price was right,right price,great price,4,Apex AD2600 Progressive-scan DVD player,1
and amazon com has it for such a great price how can you go wrong,great price,great price,4,Apex AD2600 Progressive-scan DVD player,1
very bad quality,bad quality,better quality,4,Apex AD2600 Progressive-scan DVD player,0
excellent picture quality on par with my pioneer panasonic and jvc players,excellent quality,better quality,4,Apex AD2600 Progressive-scan DVD player,1
only owned it about two weeks so i expect were looking at getting another progressive scan dvd player of higher quality very soon,higher quality,better quality,4,Apex AD2600 Progressive-scan DVD player,1
i know the saying is you get what you pay for but at this stage of game dvd players must have better quality than this there is no excuse,better quality,better quality,4,Apex AD2600 Progressive-scan DVD player,0
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,progressive player,progressive player,3,Apex AD2600 Progressive-scan DVD player,1
only owned it about two weeks so i expect were looking at getting another progressive scan dvd player of higher quality very soon,progressive player,progressive player,3,Apex AD2600 Progressive-scan DVD player,1
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,progressive players,progressive player,3,Apex AD2600 Progressive-scan DVD player,1
its a compact attractive machine and was easy to set up,attractive machine,nice machines,3,Apex AD2600 Progressive-scan DVD player,1
besides the one problem this machine is amazing,amazing machine,nice machines,3,Apex AD2600 Progressive-scan DVD player,1
nice machines but i consider their quality pretty low now,nice machines,nice machines,3,Apex AD2600 Progressive-scan DVD player,0
great quality picture and features,great picture,great picture,3,Apex AD2600 Progressive-scan DVD player,1
received apex dvd and the picture was great when set up with s connector,great picture,great picture,3,Apex AD2600 Progressive-scan DVD player,1
the picture is perfect although i am not watching on an hdtv,perfect picture,great picture,3,Apex AD2600 Progressive-scan DVD player,1
apex is the best cheap quality brand for dvd players,cheap brand,best brand,3,Apex AD2600 Progressive-scan DVD player,1
